bin_timestamp,bin_index,active_jobs,cpu_ReadMB_sum,cpu_WriteMB_sum,cpu_ReadMB_max,cpu_WriteMB_max,cpu_CPUUtilization_mean,cpu_CPUUtilization_max,cpu_RSS_max,gpu_utilization_gpu_pct_mean,gpu_utilization_gpu_pct_max,gpu_memory_used_MiB_max,gpu_power_draw_W_mean
2021-06-11 22:55:00+00:00,16403,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 23:00:00+00:00,16404,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 23:05:00+00:00,16405,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 23:10:00+00:00,16406,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 23:15:00+00:00,16407,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 23:20:00+00:00,16408,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 23:25:00+00:00,16409,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 23:30:00+00:00,16410,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 23:35:00+00:00,16411,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 23:40:00+00:00,16412,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 23:45:00+00:00,16413,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 23:50:00+00:00,16414,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-11 23:55:00+00:00,16415,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 00:00:00+00:00,16416,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 00:05:00+00:00,16417,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 00:10:00+00:00,16418,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 00:15:00+00:00,16419,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 00:20:00+00:00,16420,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 00:25:00+00:00,16421,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 00:30:00+00:00,16422,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 00:35:00+00:00,16423,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 00:40:00+00:00,16424,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 00:45:00+00:00,16425,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 00:50:00+00:00,16426,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 00:55:00+00:00,16427,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 01:00:00+00:00,16428,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 01:05:00+00:00,16429,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 01:10:00+00:00,16430,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 01:15:00+00:00,16431,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 01:20:00+00:00,16432,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 01:25:00+00:00,16433,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 01:30:00+00:00,16434,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 01:35:00+00:00,16435,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 01:40:00+00:00,16436,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 01:45:00+00:00,16437,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 01:50:00+00:00,16438,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 01:55:00+00:00,16439,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 02:00:00+00:00,16440,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 02:05:00+00:00,16441,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 02:10:00+00:00,16442,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 02:15:00+00:00,16443,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 02:20:00+00:00,16444,6,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 02:25:00+00:00,16445,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 02:30:00+00:00,16446,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 02:35:00+00:00,16447,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 02:40:00+00:00,16448,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 02:45:00+00:00,16449,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 02:50:00+00:00,16450,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 02:55:00+00:00,16451,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 03:00:00+00:00,16452,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 03:05:00+00:00,16453,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 03:10:00+00:00,16454,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 03:15:00+00:00,16455,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 03:20:00+00:00,16456,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 03:25:00+00:00,16457,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 03:30:00+00:00,16458,5,0,0,0,0,0,0,0,0,0,0,0
2021-06-12 03:35:00+00:00,16459,5,0,0,0,0,0,0,0,0,0,0,0
